date,open,high,low,close,volume
2020-02-18,190.95,191.5,188.92,191.09,4957450
2020-02-14,189.35,190.25,188.1,189.95,3599445
2020-02-13,188.5,191.05,188.42,188.64,3132057
2020-02-12,189.71,190.52,186.77,189.46,4535367
2020-02-11,191.48,192.6,188.65,189.11,4299231
2020-02-10,186.17,189.27,185.56,189.12,3873498
2020-02-07,186.85,188.65,185.65,185.72,3713079
2020-02-06,186.83,187.56,184.24,186.73,4102926
2020-02-05,190.4,190.55,182.86,185.49,6162711
2020-02-04,188.0,189.69,186.65,188.34,3983248
2020-02-03,183.26,185.87,181.85,185.42,4755709
2020-01-31,184.86,186.03,180.79,182.31,4193259
2020-01-30,180.9,185.94,180.54,185.67,3716140
2020-01-29,184.0,184.1,181.62,181.77,2789482
2020-01-28,181.14,183.86,180.35,182.85,3445530
2020-01-27,178.77,181.73,177.3,180.71,4239357
2020-01-24,185.0,186.13,181.13,182.11,4653931
2020-01-23,183.21,184.3,181.3,183.98,4369337
2020-01-22,185.39,186.44,182.69,182.75,4781769
2020-01-21,181.51,186.0,181.5,185.27,6302448
2020-01-17,183.23,183.34,181.36,182.23,4577245
2020-01-16,182.23,183.11,180.96,182.69,3485298
2020-01-15,181.68,183.09,180.62,181.06,3886843
2020-01-14,183.5,183.85,182.04,182.12,4347509
2020-01-13,181.26,184.45,181.13,183.85,6205333
2020-01-10,179.84,180.68,178.69,180.2,5112302
2020-01-09,178.84,179.9,177.29,179.6,5954966
2020-01-08,175.23,178.85,174.75,177.33,7226234
2020-01-07,173.23,176.87,172.09,176.0,8310525
2020-01-06,165.0,173.67,164.45,173.45,8843581
2020-01-03,165.06,166.77,165.0,166.17,3205583
2020-01-02,163.92,167.07,163.58,166.99,5094557
2019-12-31,162.04,163.26,161.8,162.64,3273515
2019-12-30,164.86,164.94,161.2,162.44,3197087
2019-12-27,164.86,165.46,163.9,164.98,3410032
2019-12-26,163.4,164.53,163.27,164.51,2156316
2019-12-24,163.31,163.84,162.88,163.25,1237991
2019-12-23,164.04,164.87,163.35,163.74,4373626
2019-12-20,164.73,165.17,163.63,164.55,8586884
2019-12-19,161.59,163.34,160.83,163.33,4186371
2019-12-18,161.8,163.28,161.48,161.48,4145091
2019-12-17,162.0,162.37,159.74,161.63,4789823
2019-12-16,160.85,162.74,160.82,161.96,5371494
2019-12-13,158.86,161.49,158.55,161.13,5742818
2019-12-12,155.77,158.99,155.31,158.59,5355489
2019-12-11,156.84,156.88,155.48,156.39,4869175
2019-12-10,157.01,157.67,156.17,156.4,4075754
2019-12-09,157.38,158.9,157.06,157.48,3754080
2019-12-06,158.1,159.5,157.59,158.01,4754316
2019-12-05,155.74,158.92,155.25,158.22,7127977
2019-12-04,160.38,160.69,154.5,156.43,17805505
2019-12-03,156.96,161.85,156.19,161.57,6622651
2019-12-02,163.1,163.21,158.1,161.0,5140087
2019-11-29,161.61,163.41,161.32,162.89,2432473
2019-11-27,161.92,162.83,161.11,161.51,4015939
2019-11-26,161.56,162.61,161.31,162.54,5882383
2019-11-25,163.78,164.65,161.45,161.71,5509549
2019-11-22,162.98,163.49,161.38,162.81,3761891
2019-11-21,165.32,165.91,162.21,162.88,5724203
2019-11-20,163.44,166.34,162.25,164.2,8454931
2019-11-19,163.64,164.45,161.84,163.96,4956475
2019-11-18,164.0,164.0,161.89,162.77,5558132
2019-11-15,163.72,163.93,160.99,163.21,3693235
2019-11-14,163.03,163.58,162.39,163.05,3823268
2019-11-13,163.05,164.42,162.02,162.6,5499804
2019-11-12,162.0,164.37,161.59,162.86,3710757
2019-11-11,161.22,162.23,160.25,161.78,3541597
2019-11-08,159.25,161.21,158.91,161.11,3265364
2019-11-07,158.93,161.13,158.08,159.5,3802312
2019-11-06,158.94,160.0,157.75,158.93,4207428
2019-11-05,157.59,159.12,155.47,158.15,4014981
2019-11-04,160.94,161.25,156.69,157.6,5748077
2019-11-01,157.91,160.09,156.75,159.74,4771053
2019-10-31,156.56,158.28,155.21,156.49,4578255
2019-10-30,155.74,158.42,155.01,158.28,4724478
2019-10-29,154.78,156.13,154.42,155.09,5477303
2019-10-28,151.2,154.92,149.43,154.79,7576726
2019-10-25,147.05,150.66,146.3,150.49,4991422
2019-10-24,146.59,148.79,146.4,148.12,5376741
2019-10-23,142.11,145.57,141.49,145.13,4941561
2019-10-22,145.05,145.96,142.14,142.33,5284014
2019-10-21,144.1,145.19,143.0,144.55,3376519
2019-10-18,146.3,146.44,142.4,144.09,6080531
2019-10-17,147.58,148.04,145.51,146.17,5072069
2019-10-16,147.26,150.85,145.82,146.97,9007266
2019-10-15,149.66,152.97,149.62,152.74,3947786
2019-10-14,149.4,150.28,148.8,149.37,1583842
2019-10-11,148.14,150.71,148.09,149.37,4690874
2019-10-10,146.84,147.56,145.51,146.41,2738583
2019-10-09,147.27,147.85,146.61,147.05,2310363
2019-10-08,147.54,148.34,145.81,145.91,2670470
2019-10-07,147.28,149.33,147.0,148.8,2738198
2019-10-04,148.28,148.92,146.21,148.03,3274199
2019-10-03,144.0,147.06,142.08,147.0,3768480
2019-10-02,146.06,146.5,143.2,144.22,4486555
2019-10-01,149.49,150.16,147.25,147.69,3213561
2019-09-30,147.95,148.97,147.41,148.44,3733867
2019-09-27,153.12,153.15,146.75,148.26,5909440
2019-09-26,152.42,153.4,151.84,152.34,3839378
2019-09-25,152.05,153.21,148.9,152.99,3459570
2019-09-24,154.28,156.27,151.09,152.05,4158839
2019-09-23,154.15,155.2,152.96,154.65,3827133
2019-09-20,154.69,156.88,153.62,155.2,11762947
2019-09-19,153.52,154.25,152.77,153.6,2985482
2019-09-18,152.35,152.91,150.57,152.77,2973703
2019-09-17,153.0,153.45,151.73,152.82,3060345
2019-09-16,151.65,154.1,151.36,153.01,2592259
2019-09-13,154.32,154.91,152.74,152.98,3763493
2019-09-12,155.04,156.8,154.41,154.75,4993526
2019-09-11,150.09,154.65,149.04,154.09,6242421
2019-09-10,148.77,151.66,147.74,149.65,6249683
2019-09-09,151.66,152.15,148.09,149.54,6265476
2019-09-06,153.97,154.05,150.77,151.07,4722273
2019-09-05,154.64,154.74,151.95,153.77,5067024
2019-09-04,154.09,154.92,152.32,152.46,3607077
2019-09-03,154.21,155.32,151.76,152.73,4954246
2019-08-30,156.42,158.22,153.7,156.07,7593232
2019-08-29,153.4,156.0,152.66,155.93,5981501
2019-08-28,152.5,152.78,150.87,151.83,5328744
2019-08-27,154.26,155.9,152.53,153.57,6520653
2019-08-26,153.51,155.21,151.52,155.14,8978657
2019-08-23,157.7,158.42,150.65,151.57,26540017
2019-08-22,149.49,149.9,145.47,148.24,11885312
2019-08-21,146.9,148.39,146.16,147.38,6153669
2019-08-20,144.16,146.5,143.06,145.54,6262572
2019-08-19,145.6,146.14,142.88,143.67,4635177
2019-08-16,143.06,145.34,142.52,143.89,5341106
2019-08-15,141.1,143.3,139.75,142.13,6647733
2019-08-14,141.29,142.36,137.87,139.72,8607780
2019-08-13,140.93,145.0,140.43,143.88,5242772
2019-08-12,141.55,141.97,140.05,140.72,4410950
2019-08-09,143.61,144.47,141.69,143.37,5286734
2019-08-08,143.52,144.96,142.32,143.82,8670253
2019-08-07,140.93,143.1,139.06,141.64,7635513
2019-08-06,143.79,144.96,141.96,142.8,6693998
2019-08-05,141.34,143.75,139.8,142.82,13070094
2019-08-02,149.8,149.9,145.31,145.7,13138900
2019-08-01,154.73,157.78,150.41,150.81,26124657
2019-07-31,157.39,157.89,152.3,154.5,7454174
2019-07-30,155.34,158.22,154.62,156.96,4241587
2019-07-29,160.4,161.2,155.52,156.21,8880457
2019-07-26,159.56,160.82,158.73,159.97,4979078
2019-07-25,160.12,161.13,158.67,159.35,6934549
2019-07-24,155.98,160.25,155.7,159.75,4110516
2019-07-23,157.98,158.45,155.28,156.25,4865763
2019-07-22,157.65,159.05,157.15,157.7,2910733
2019-07-19,159.73,160.74,156.29,156.75,5218844
2019-07-18,157.0,158.58,156.21,157.98,3726542
2019-07-17,157.68,159.92,157.66,158.24,4160523
2019-07-16,159.96,161.61,156.8,157.13,6913066
2019-07-15,158.76,159.84,157.48,159.65,3603693
2019-07-12,159.4,159.62,157.4,158.08,4348123
2019-07-11,156.82,159.3,156.62,158.9,7083235
2019-07-10,154.57,156.4,154.57,156.27,4966261
2019-07-09,152.08,154.19,151.68,153.95,4979273
2019-07-08,153.52,153.69,152.04,152.81,4717368
2019-07-05,153.95,154.81,152.57,154.58,3940940
2019-07-03,154.54,155.75,154.16,155.59,3885430
2019-07-02,154.29,154.36,152.58,154.12,4738611
2019-07-01,154.57,154.74,151.85,154.06,6483352
2019-06-28,150.42,151.77,149.6,151.73,6936576
2019-06-27,149.89,150.76,148.47,150.69,6832817
2019-06-26,151.28,151.38,148.92,149.04,5844938
2019-06-25,152.83,152.97,148.59,149.34,7362484
2019-06-24,157.39,157.73,152.51,152.56,6378206
2019-06-21,156.67,157.79,155.94,156.84,9706930
2019-06-20,156.29,158.29,155.42,157.2,10153607
2019-06-19,151.69,154.47,150.51,154.14,8095299
2019-06-18,151.88,152.95,150.5,150.59,7317839
2019-06-17,150.2,151.28,149.87,150.29,4491845
2019-06-14,151.04,151.98,149.48,150.01,6248150
2019-06-13,152.16,152.24,150.25,151.34,5173787
2019-06-12,151.11,152.32,150.15,151.28,7161291
2019-06-11,155.31,155.71,148.79,150.15,15214322
2019-06-10,153.48,157.45,150.83,152.79,29856328
2019-06-07,159.84,162.99,159.5,161.27,7175301
2019-06-06,158.5,160.0,157.33,159.31,5601246
2019-06-05,157.15,158.5,154.55,158.44,12072390
2019-06-04,146.05,150.92,142.51,150.81,12375090
2019-06-03,150.7,150.7,143.39,145.1,8835249
2019-05-31,152.66,154.48,151.26,151.41,5326907
2019-05-30,154.32,155.87,153.9,155.66,4418092
2019-05-29,153.76,154.06,151.2,152.89,4359454
2019-05-28,155.35,157.81,154.39,155.19,4934063
2019-05-24,154.89,156.93,154.16,154.51,3151662
2019-05-23,156.03,156.34,152.15,153.71,4508215
2019-05-22,155.87,158.19,155.84,157.64,3170058
2019-05-21,157.36,157.84,155.18,155.78,3803459
2019-05-20,152.47,156.09,151.7,155.98,5437590
2019-05-17,156.18,157.16,153.17,154.57,5314319
2019-05-16,156.76,159.45,155.9,158.48,5048088
2019-05-15,153.82,156.38,151.7,155.06,7783774
2019-05-14,155.05,158.59,152.92,158.07,4954034
2019-05-13,154.92,156.9,152.78,153.15,5694582
2019-05-10,156.28,160.61,154.38,159.94,4462213
2019-05-09,154.65,157.1,152.39,156.31,5809346
2019-05-08,157.11,157.93,155.04,156.86,4061339
2019-05-07,161.33,161.67,154.75,156.9,6541888
2019-05-06,158.62,162.84,157.86,162.5,2520943
2019-05-03,162.58,163.5,160.86,163.34,3131437
2019-05-02,161.69,162.7,159.63,161.83,3181073
2019-05-01,166.01,166.22,162.14,162.15,2707730
2019-04-30,165.19,166.44,163.62,165.35,3581801
2019-04-29,166.71,167.56,165.33,165.36,4509669
2019-04-26,162.42,166.06,161.28,165.96,3343064
2019-04-25,162.0,163.89,161.0,163.09,5498432
2019-04-24,161.88,162.49,159.4,159.56,3384945
2019-04-23,159.76,161.4,158.41,161.23,3445371
2019-04-22,155.45,159.14,155.28,158.76,2943629
2019-04-18,154.9,156.21,153.17,155.99,4391704
2019-04-17,159.05,159.05,155.07,155.34,4765519
2019-04-16,160.04,160.26,157.75,158.69,3004836
2019-04-15,161.0,162.03,159.49,160.09,2608365
2019-04-12,162.0,162.5,159.5,160.71,2844167
2019-04-11,160.16,160.83,159.02,160.73,2578390
2019-04-10,158.2,160.38,157.65,160.24,3414745
2019-04-09,157.04,158.35,156.65,156.97,5642884
2019-04-08,158.4,158.79,156.45,158.47,2848571
2019-04-05,159.63,160.24,158.02,158.56,4315403
2019-04-04,162.71,162.8,155.83,158.52,6295218
2019-04-03,161.78,163.14,160.65,162.62,3819829
2019-04-02,160.86,160.99,158.91,160.51,3158591
2019-04-01,160.1,161.68,158.51,161.18,4601126
